"#Species","accession","type","name","description"
"UW551","WP_003265988.1","protein","ripBI","Type III effector protein RipBI"
"BDBR229","CCA83921.1","protein","ripAB","Type III effector RipAB [formerly PopB]"
"CFBP2957","CBJ52863.1","protein","ripA2","Type III effector protein AWR2"
"UW551","WP_003261350.1","protein","ripF2","Type III secretion translocon Protein RipF2"
"RS1000","BAD42408.1","protein","ripS4","Type III effector protein SKWP4 (Rip20)"
"Po82","AEG71865.1","protein","ripS3","Type III effector protein SKWP3"
"CFBP2957","CBJ44577.1","protein","ripI","Type III effector protein RipI"
"CFBP2957","CBJ53856.1","protein","ripS3","Type III effector protein SKWP3"
"IPO1609","YP_002257765.1","protein","ripZ","Type III effector protein RipZ"
"R24","CCA88165.1","protein","ripAY","Type III effector protein RipAY"
"Psi07","CBJ36034.1","protein","ripBH","Type III effector RipBH, OspD family"
"IPO1609","YP_002257057.1","protein","ripBH","Type III effector protein RipBH"
"UW551","WP_003264986.1","protein","ripAJ","Type III effector protein RipAJ"
"UW551","WP_003261207.1","protein","ripAP","Type III effector protein RipAP"
"Psi07","CBJ35242.1","protein","ripG2","leucine-rich-repeat type III effector protein (GALA2)"
"Po82","AEG71918.1","protein","ripAY","Type III effector protein RipAY"
"CMR15","CBJ38771.1","protein","ripP2","Type III effector protein RipP2 [formerly PopP2]"
"CFBP2957","CBJ53590.1","protein","ripAL","Type III effector protein RipAL, lipase domain"
"BDBR229","CCA79854.1","protein","ripS7","Type III effector protein SKWP7"
"R24","CCA85754.1","protein","ripE1","Type III effector RipE1"
"Molk2","CAQ36861.1","protein","ripAY","Type III effector protein RipAY"
"Po82","AEG70452.1","protein","ripB","Type III effector protein RipB"
"GMI1000","CAD13569.1","protein","ripI","Type III effector protein RipI"
"GMI1000","CAD17882.1","protein","ripTPS","Type effector protein RipTPS, trehalose-6-phosphate synthase"
"RS1000","BAI67927.1","protein","ripU","type III effector protein (Rip59)"
"Po82","AEG67374.1","protein","ripE1","Type III effector protein RipE1"
"GMI1000","CAD17723.1","protein","ripAX2","Type III effector protein RipAX2"
"RS1000","BAI67918.1","protein","ripH3","Type III effector protein HLK3 (Rip30)"
"IPO1609","YP_002258009.1","protein","ripH2","Type III effector protein HLK2"
"BDBR229","CCA83743.1","protein","ripA2","Type III effector protein AWR2"
"CFBP2957","CBJ52991.1","protein","ripH2","Type III effector protein HLK2"
"R24","CCA88008.1","protein","ripAO","Type III effector protein RipAO"
"RS1000","BAH47280.1","protein","ripX","Type III effector protein RipX [formerly PopA] (Rip49)"
"GMI1000","CAD18428.1","protein","ripQ","Type III effector protein RipQ"
"Po82","AEG72192.1","protein","ripF2","Type III secretion translocon protein RipF2"
"GMI1000","CAD18182.2","protein","ripZ","Type III effector protein RipZ"
"UW551","WP_003262779.1","protein","ripR","Type III effector Protein RipR"
"Psi07","CBJ52509.1","protein","ripY","Type III effector RipY, with ankyrin repeats"
"R24","CCA86664.1","protein","ripV2","Type III effector protein RipV2"
"CFBP2957","CBJ43137.1","protein","ripH1","Type III effector HLK1"
"BDBR229","CCA83843.1","protein","ripD","Type III effector protein RipD"
"CMR15","CBJ40587.1","protein","ripS3","Type III effector protein SKWP3"
"Molk2","CAQ36886.1","protein","ripZ","Type III effector protein RipZ"
"CFBP2957","CBJ42585.1","protein","ripAJ","Type III effector protein RipAJ"
"Psi07","CBJ49452.1","protein","ripE1_1","Type III effector RipE1_1"
"BDBR229","CCA80386.1","protein","ripB","Type III effector protein RipB"
"GMI1000","CAD18363.2","protein","ripU","Type III effector protein RipU"
"R24","CCA87169.1","protein","ripF1","T3SS translocon protein RipF1 [formerly PopF1]"
"IPO1609","YP_002261259.1","protein","ripE1","Type III effector protein RipE1"
"Psi07","CBJ35428.1","protein","ripR","Type III effector protein RipR"
"RS1000","BAD42406.1","protein","ripAV","Type III effector protein (Rip39)"
"IPO1609","YP_002261170.1","protein","ripAX1","Type III effector protein RipAX1"
"GMI1000","CAD17989.2","protein","ripAI","Type III effector protein RipAI"
"IPO1609","YP_002257637.1","protein","ripAO","Type III effector protein RipAO"
"GMI1000","CAD17998.1","protein","ripA4","Type III effector protein, AWR family, AWR4"
"GMI1000","CAD15051.2","protein","ripV1","Type III effector protein RipV1 (SspH1 family)"
"RS1000","BAI67920.1","protein","ripH2","type III effector protein HLK2 (Rip32)"
"CFBP2957","CBJ52942.1","protein","ripH3","Type III effector protein HLK3"
"Molk2","CAQ56931.1","protein","ripJ","Type III effector protein RipJ"
"Psi07","CBJ34518.1","protein","ripH2_1","Type III effector protein HLK2_1"
"IPO1609","YP_002261147.1","protein","ripAM","Type III effector protein RipAM"
"RS1000","BAH47284.1","protein","ripA3","type III effector protein AWR3 (Rip44)"
"Psi07","CBJ51890.2","protein","ripS5","Type III effector protein SKWP5"
"Molk2","CAQ35674.1","protein","ripG4","Type III effector protein GALA4"
"Psi07","CBJ34969.1","protein","ripTPS","Type III effector RipTPS, trehalose-6-phosphate synthase"
"IPO1609","YP_002259692.1","protein","ripV1","Type III effector protein RipV1"
"Molk2","CAQ37005.1","protein","ripN","Type III effector protein RipN"
"GMI1000","CAD13773.2","protein","ripB","Type III effector protein RipB"
"CFBP2957","CBJ41989.1","protein","ripW","Type III effector RipW [formerly PopW], Harpin with pectate lyase domain"
"Psi07","CBJ35363.1","protein","ripZ","Type III effector protein RipZ"
"UW551","WP_003263317.1","protein","ripAM","Type III effector protein RipAM"
"GMI1000","CAD15177.1","protein","ripM","Type III effector protein RipM"
"Molk2","CAQ17300.1","protein","ripW","Type III effector RipW [formerly PopW], Harpin with pectate lyase domain"
"IPO1609","YP_002257106.1","protein","ripF1","Type III secretion translocon protein ripF1"
"Psi07","CBJ34467.1","protein","ripH3","Type III effector protein HLK3"
"Molk2","CAQ18451.1","protein","ripA2","Type III effector protein AWR2"
"GMI1000","CAD14138.1","protein","ripAA","type III effector protein RipAA (formerly AvrA)"
"UW551","WP_003265253.1","protein","ripO1","Type III effector Protein RipO1"
"CMR15","CBJ39437.1","protein","ripY","Type III effector protein RipY, ankyrin repeats"
"GMI1000","CAD17250.1","protein","ripA2","Type III effector protein, AWR family, AWR2"
"RS1000","BAD42407.1","protein","ripAK","Type III effector protein (Rip23)"
"Molk2","CAQ37060.1","protein","ripU","Type III effector protein RipU"
"GMI1000","CAD17474.2","protein","ripO1","Type III effector protein RipO1"
"Po82","AEG71690.1","protein","ripAL","Type III effector protein RipAL"
"Psi07","CBJ52685.1","protein","ripI","Type III effector protein RipI"
"CMR15","CBJ40503.1","protein","ripAC","Type III effector protein RipAC [formerly PopC]"
"RS1000","BAD42393.1","protein","ripG7","Type III effector protein GALA7 (Rip14)"
"Po82","AEG71832.1","protein","ripX","Type III effector protein RipX [formerly PopA], harpin"
"CFBP2957","CBJ53689.1","protein","ripAF1","Type III effector protein RipAF1"
"R24","CCA87459.1","protein","ripL","Type III effector protein RipL"
"UW551","WP_003264895.1","protein","ripAR","Type III effector protein RipAR"
"Po82","AEG72206.1","protein","ripAZ1","Type III effector protein RipAZ1"
"UW551","WP_003264619.1","protein","ripG6","Type III effector protein GALA6"
"Psi07","CBJ35355.1","protein","ripA5","Type III effector protein AWR5"
"R24","CCA87965.1","protein","ripAI","Type III effector protein RipAI"
"Po82","AEG70040.1","protein","ripAA","Type III effector protein RipAA [formerly AvrA]"
"CMR15","CBJ41139.1","protein","ripAW","Type III effector protein RipAW"
"Psi07","CBJ51373.1","protein","ripG7","leucine-rich-repeat type III effector protein (GALA7)"
"BDBR229","CCA83695.1","protein","ripK","Type III effector protein RipK"
"UW551","WP_003262382.1","protein","ripH2","Type III effector Protein HLK2"
"GMI1000","CAD17447.1","protein","ripS5","Type III effector protein, SKWP family, SKWP5"
"BDBR229","CCA83579.1","protein","ripBH","Type III effector RipBH, OspD family"
"IPO1609","YP_002257066.1","protein","ripAD","Type III effector protein RipAD"
"UW551","WP_003261312.1","protein","ripN","Type III effector Protein RipN"
"GMI1000","CAD18706.1","protein","ripF1_1","Type III secretion translocon protein RipF1_1 (formerly PopF1)"
"IPO1609","YP_002257934.1","protein","ripU","Type III effector protein RipU"
"GMI1000","CAD17366.1","protein","ripH2","TYpe III effector protein HLK2"
"Psi07","CBM10148.1","protein","ripE1_2","Type III effector RipE1_2"
"IPO1609","YP_002257818.1","protein","ripC1","Type III effector protein RipC1"
"Molk2","CAQ35467.1","protein","ripV1","Type III effector protein RipV1"
"CMR15","CBJ40678.1","protein","ripAY","Type III effector protein RipAY"
"CMR15","CBJ40471.1","protein","ripAN","Type III effector protein RipAN"
"Molk2","CAQ56537.1","protein","ripB","Type III effector protein RipB"
"R24","CCA88178.1","protein","ripA5","Type III effector protein AWR5"
"CMR15","CBJ40516.1","protein","ripAQ","Type III effector protein RipAQ"
"IPO1609","YP_002258173.1","protein","ripD","Type III effector protein RipD"
"Po82","AEG72011.1","protein","ripR","Type III effector protein RipR"
"CFBP2957","CBJ43095.1","protein","ripG4","Type III effector protein GALA4"
"CMR15","CBJ40351.1","protein","ripAV","Type III effector RipAV"
"UW551","WP_003264613.1","protein","ripV1","Type III effector protein RipV1"
"Po82","AEG69296.1","protein","ripG7","Type III effector protein GALA7"
"R24","CCA87244.1","protein","ripAD","Type III effector protein RipAD"
"IPO1609","YP_002259684.1","protein","ripG7","Type III effector protein GALA7"
"UW551","WP_003265020.1","protein","ripAN","Type III effector protein RipAN"
"CFBP2957","CBJ54549.1","protein","ripAZ1","Type III effector protein RipAZ1"
"GMI1000","CAD17179.2","protein","ripG3","Type III effector protein GALA3"
"GMI1000","CAD18733.2","protein","ripAZ1","Type III effector protein RipAZ1"
"CMR15","CBJ39924.1","protein","ripS5","Type III effector protein SKWP5"
"IPO1609","YP_002257744.1","protein","ripAY","Type III effector protein RipAY"
"Molk2","CAQ36867.1","protein","ripA5_1","Type III effector protein AWR5_1"
"Po82","AEG70843.1","protein","ripH2_1","Type III effector protein HLK2_1"
"CFBP2957","CBJ53918.1","protein","ripZ","Type III effector protein RipZ"
"IPO1609","YP_002258003.1","protein","ripS2","Type III effector protein SKWP2"
"RS1000","BAD42392.1","protein","ripG6","Type III effector protein GALA6 (Rip13)"
"CMR15","CBJ36437.1","protein","ripG8","Type III effector protein GALA8"
"CMR15","CMR15_mp20344","protein","ripC1","Type III effector protein RipC1 (N-terminal fragment)"
"CFBP2957","CBJ52821.1","protein","ripK","Type III effector protein RipK"
"R24","CCA85650.1","protein","ripAM","Type III effector protein RipAM"
"GMI1000","CAD17078.1","protein","ripAX1","Type III effector protein RipAX1"
"RS1000","BAI67919.1","protein","ripL","type III effector protein (Rip31)"
"IPO1609","YP_002259566.1","protein","ripV2","Type III effector protein RipV2"
"CMR15","CMR15_mp10795","protein","ripAF1","Type III effector protein RipAF1"
"CFBP2957","CBJ53975.1","protein","ripC1","Type III effector protein RipC1"
"Molk2","CAQ18278.1","protein","ripAD","Type III effector protein RipAD"
"RS1000","BAI67915.1","protein","ripAH","type III effector protein (Rip11)"
"Molk2","CAQ56613.1","protein","ripAE","Type III effector protein RipAE"
"Po82","AEG71842.1","protein","ripAO","Type III effector protein RipAO"
"Po82","AEG71438.1","protein","ripBD","type III effector, ankyrin repeat-containing protein"
"GMI1000","CAD18525.1","protein","ripS2","Type III effector protein, SKWP family, SKWP2"
"CFBP2957","CBJ53893.1","protein","ripAY","Type III effector protein RipAY"
"Po82","AEG70041.1","protein","ripJ","Type III effector protein RipJ"
"BDBR229","CCA81198.1","protein","ripBF","Type III effector RipBF"
"CMR15","CBJ40531.1","protein","ripF1_2","Type III translocon protein ripF1_2"
"RS1000","BAI67909.1","protein","ripI","type III effector protein (Rip1)"
"UW551","WP_003262776.1","protein","ripC1","Type III effector Protein RipC1"
"Molk2","CAQ37092.1","protein","ripAR","Type III effector protein RipAR"
"CFBP2957","CBJ53752.1","protein","ripAO","Type III effector protein RipAO"
"IPO1609","YP_002258863.1","protein","ripAA","Type III effector protein RipAA [formerly AvrA]"
"IPO1609","YP_002257250.1","protein","ripAT","Type III effector protein RipAT"
"UW551","WP_003263716.1","protein","ripAO","Type III effector protein RipAO"
"CFBP2957","CBJ54228.1","protein","ripS2","Type III effector protein SKWP2"
"Psi07","CBJ35702.1","protein","ripAT","Type III effector protein RipAT"
"Po82","AEG71318.1","protein","ripAS","Type III effector protein RipAS"
"UW551","WP_003263178.1","protein","ripG2","Type III effector protein GALA2"
"CFBP2957","CBJ44411.1","protein","ripY","Type III effector protein RipY with ankyrin repeats"
"GMI1000","CAD13849.1","protein","ripAE","Type III effector protein RipAE"
"RS1000","BAD42402.1","protein","ripQ","Type III effector protein (Rip63)"
"CMR15","CBJ40507.1","protein","ripAO","Type III effector protein RipAO"
"UW551","WP_003263662.1","protein","ripTPS","Type III effector RipTPS, trehalose-6-phosphate synthase"
"BDBR229","CCA80220.1","protein","ripH2_2","Type III effector protein HLK2_2"
"GMI1000","CAD18752.2","protein","ripAD","Type III effector protein RipAD"
"Po82","AEG71443.1","protein","ripU","Type III effector protein RipU"
"Po82","AEG67340.1","protein","ripS1","Type III effector protein SKWP1"
"GMI1000","CAD16898.2","protein","ripS1","Type III effector protein, SKWP family, SKWP1"
"BDBR229","CCA82851.1","protein","ripF1","Type III secretion system tanslocator RipF1 [formerly PopF1]"
"CFBP2957","CBJ53717.1","protein","ripA4","Type III effector protein AWR4"
"UW551","WP_003264529.1","protein","ripAE","Type III effector protein RipAE"
"Molk2","CAQ35472.1","protein","ripG7","Type III effector protein GALA7"
"GMI1000","CAD17344.2","protein","ripL","Type III effector protein RipL, PPR repeats domain"
"CMR15","CBJ39041.1","protein","ripAA","Type III effector RipAA [formerly AvrA]"
"Psi07","CBJ35572.1","protein","ripU","Type III effector RipU"
"BDBR229","CCA79014.1","protein","ripM","Type III effector protein RipM"
"CMR15","CBJ40951.1","protein","ripQ","Type III effector RipQ"
"RS1000","BAI67929.1","protein","ripAR","type III effector protein (Rip61)"
"Po82","AEG68037.1","protein","ripW","Type III effector RipW [formerly PopW], Harpin with pectate lyase domain"
"CFBP2957","CBJ53899.1","protein","ripA5","Type III effector protein AWR5"
"GMI1000","CAD17997.1","protein","ripA3","Type III effector protein, AWR family, AWR3"
"Psi07","CBJ51340.1","protein","ripH1","Type III effector protein HLK1"
"CMR15","CBJ40505.1","protein","ripX","Type III effector RipX [formerly PopA], harpin"
"CFBP2957","CBJ43096.1","protein","ripG5","Type III effector protein GALA5"
"CFBP2957","CBJ44038.1","protein","ripAA","Type III effector protein RipAA [formerly AvrA]"
"BDBR229","CCA81546.1","protein","ripW","Type III effector RipW [formerly PopW], harpin"
"Po82","AEG70722.1","protein","ripA2","type III effector protein AWR2"
"CFBP2957","CBJ53353.1","protein","ripS7","Type III effector protein SKWP7"
"CMR15","CBJ36314.1","protein","ripE1","Type III effector RipE1"
"RS1000","BAH47287.1","protein","ripG3","type III effector protein GALA3 (Rip28)"
"CFBP2957","CBJ53748.1","protein","ripX","Type III effector protein RipX [formerly PopA], harpin"
"R24","CCA85795.1","protein","ripAZ2","Type III effector protein RipAZ2"
"Psi07","CBJ35769.1","protein","ripAW","Type III effector protein RipAW"
"RS1000","BAI67924.1","protein","ripAQ","Type III effector protein (Rip51)"
"GMI1000","CAD18535.1","protein","ripAS","Type III effector protein RipAS"
"Po82","AEG72131.1","protein","ripO1","Type III effector protein RipO1"
"Po82","AEG71328.1","protein","ripS2","Type III effector protein SKWP2"
"CMR15","CBJ40955.1","protein","ripR","Type III effector protein RipR"
"UW551","WP_003265408.1","protein","ripM","Type III effector Protein RipM"
"GMI1000","CAD17060.1","protein","ripAM","Type III effector protein RipAM"
"BDBR229","CCA80686.1","protein","ripE1","Type III effector RipE1"
"Psi07","CBM10266.1","protein","ripBF","Type III effector protein RipBF"
"R24","CCA88112.1","protein","ripS4","Type III effector protein SKWP4"
"RS1000","BAH47291.1","protein","ripS2","type III effector protein SKWP2 (Rip65)"
"GMI1000","CAD15839.2","protein","ripJ","Type III effector protein RipJ"
"IPO1609","YP_002257747.1","protein","ripA5_1","Type III effector protein AWR5_1"
"UW551","WP_003265585.1","protein","ripAT","Type III effector protein RipAT"
"CFBP2957","CBJ44424.1","protein","ripB","Type III effector RipB protein"
"RS1000","BAI67925.1","protein","ripF1_2","Type III secretion translocon protein (Rip52)"
"UW551","WP_003265279.1","protein","ripD","Type III effector Protein RipD"
"Psi07","CBJ35895.1","protein","ripT","Type III effector protein RipT"
"Po82","AEG70445.1","protein","ripY","Type III effector protein RipY"
"Po82","AEG69807.1","protein","ripE2","Type III effector RipE2"
"Psi07","CBJ36006.1","protein","ripAZ1","Type III effector protein RipAZ1"
"IPO1609","YP_002257625.1","protein","ripAB","Type III effector protein RipAB (formerly PopB)"
"Psi07","CBJ35381.1","protein","ripG1_2","Leucine-rich-repeat type III effector protein (GALA1_2)"
"R24","CCA84473.1","protein","ripAJ","Type III effector protein RipAJ"
"IPO1609","YP_002257586.1","protein","ripAI","Type III effector protein RipAI"
"RS1000","BAI67914.1","protein","ripBE","type III effector protein (Rip10)"
"RS1000","BAH47289.1","protein","ripS5","Type III effector protein SKWP5 (Rip33)"
"GMI1000","CAD18387.2","protein","ripAR","Type III effector protein RipAR"
"RS1000","BAI67930.1","protein","ripAW","type III effector protein (Rip69)"
"CMR15","CBJ40504.1","protein","ripAB","Type III effector RipAB [formerly PopB]"
"CMR15","CBJ41246.1","protein","ripAD","Type III effector protein RipAD"
"RS1000","BAD42396.1","protein","ripTAL","Type III effector protein (Rip19)"
"IPO1609","YP_002257504.1","protein","ripG2","Type III effector protein GALA2"
"Molk2","CAQ36746.1","protein","ripAN","Type III effector protein RipAN"
"CFBP2957","CBJ53708.1","protein","ripAI","Type III effector protein RipAI"
"CMR15","CBJ40890.1","protein","ripU","Type III effector protein RipU"
"Molk2","CAQ36638.1","protein","ripAV","Type III effector protein RipAV"
"Psi07","CBJ34917.1","protein","ripBB","Type III effector RipBB, with Ankyrin repeats"
"CFBP2957","CBJ43268.1","protein","ripG6","Type III effector protein GALA6"
"BDBR229","CCA82124.1","protein","ripS3","Type III effector protein SKWP3"
"UW551","WP_003265720.1","protein","ripG3","Type III effector protein GALA3"
"UW551","WP_003264621.1","protein","ripG7","Type III effector protein GALA7"
"BDBR229","CCA83888.1","protein","ripAN","Type III effector protein RipAN"
"BDBR229","CCA80950.1","protein","ripAX1","Type III effector protein RipAX1"
"GMI1000","CAD17973.2","protein","ripAF1","Type III effector protein RipAF1"
"GMI1000","CAD15088.1","protein","ripH1","Type III effector protein HLK1"
"Molk2","CAQ36939.1","protein","ripC1","Type III effector protein RipC1"
"Molk2","CAQ36786.1","protein","ripAO","Type III effector protein RipAO"
"Psi07","CBJ51858.1","protein","ripAG","Type III effector protein RipAG"
"Molk2","CAQ17942.1","protein","ripAM","Type III effector protein RipAM"
"GMI1000","CAD18626.2","protein","ripAW","Type III effector protein RipAW"
"BDBR229","CCA83544.1","protein","ripR","Type III effector protein RipR"
"R24","CCA87396.1","protein","ripA2","Type III effector protein AWR2"
"Psi07","CBJ34430.1","protein","ripA","Type III effector protein AWR2"
"Po82","AEG71792.1","protein","ripAI","Type III effector protein RipAI"
"RS1000","BAD42403.1","protein","ripR","Type III effector protein (Rip64)"
"Po82","AEG70610.1","protein","ripI","Type III effector protein RipI"
