#Species,BioProject,Taxid,locus_tag,accession,chromosome,begin,end,strand,type,name,description
GMI1000,PRJNA57593,267608,RSp1239,CAD18390.2,AL646053,1574518,1577349,0,protein,ripC1,Type III effector protein RipC1
Molk2,PRJNA180980,564065,RSMK_04639,CAQ57159.1,CAHW01000040,925152,927083,0,protein,ripD,Type III effector protein RipD
Po82,PRJNA162133,1031711,RSPO_c01846,AEG69146.1,CP002819,1924422,1926743,0,protein,ripH1,Type III effector protein HLK1
Po82,PRJNA162133,1031711,RSPO_m00717,AEG71355.1,CP002820,813000,814574,0,protein,ripQ,Type III effector protein RipQ
IPO1609,PRJNA32087,564066,RSIPO_03994,YP_002257684.1,CU914166,1123683,1127369,0,fragment,ripS3_fragment2,"Type III effector protein SKWP3 (frameshifted, C-terminal fragment)"
GMI1000,PRJNA57593,267608,RSc0826,CAD14528.1,AL646052,867210,868316,0,protein,ripP1,Type III effector protein RipP1 (formerly PopP1)
RS1000,,305,BAH47294.1,BAH47294.1,AB302266,573,1376,0,protein,ripAA,type III effector protein RipAA [formerly AvrA] (Rip5)
CMR15,PRJEA50681,859655,CMR15_11844,CBJ38044.1,FP885895,1939989,1947698,0,protein,ripS4,Type III effector protein SKWP4
UW551,PRJNA54307,342110,RRSL_02573,WP_003263979.1,AAKL01000029,63404,64903,0,protein,ripB,Type III effector protein RipB
GMI1000,PRJNA57593,267608,RSp0879,CAD18030.2,AL646053,1110230,1111726,0,protein,ripAO,Type III effector protein RipAO
Molk2,PRJNA180980,564065,RSMK_00787,CAQ35673.1,CAHW01000035,479638,481239,0,protein,ripG5,Type III effector protein GALA5
Molk2,PRJNA180980,564065,RSMK_04490,CAQ56934.1,CAHW01000040,680700,681602,0,protein,ripAA,Type III effector protein RipAA [formerly AvrA]
Molk2,PRJNA180980,564065,RSMK_03427,CAQ37247.1,CAHW01000037,1141911,1142741,0,protein,ripAU,Type III effector protein RipAU
IPO1609,PRJNA32087,564066,RSIPO_03105,YP_002256811.1,CU914166,6507,8633,0,protein,ripH3,Type III effector protein HLK3
RS1000,,305,BAI67917.1,BAI67917.1,AB516332,760,2514,0,protein,ripM,type III effector protein (Rip16)
GMI1000,PRJNA57593,267608,RSc1801,CAD15503.2,AL646052,1937724,1939340,0,protein,ripG5,Type III effector protein GALA5
CMR15,PRJEA50681,859655,CMR15_mp10641,CBJ40290.1,FP885896,747383,750511,0,protein,ripG2,Type III effector protein GALA2
Psi07,PRJNA50543,859657,RPSI07_2496,CBJ51862.1,FP885906,2615369,2616061,0,pseudogene,ripE2,"Type III effector RipE2 (probable pseudogene, IS insertion)"
BDBR229,PRJNA53877,741978,BDB_30149,BDB_30149,BDBR229_FR854076,136747,137175,0,fragment,ripG7_fragment1,"Type III effector GALA7 (frameshift, N-terminal fragment)"
CFBP2957,PRJNA50545,859656,RCFBP_mp30438,CBJ54521.1,FP885907,2020956,2023166,0,protein,ripF1,Type III secretion translocon protein RipF1
CFBP2957,PRJNA50545,859656,RCFBP_mp10565,CBJ53352.1,FP885907,614309,615217,0,protein,ripE2,Type III effector effector RipE2
Po82,PRJNA162133,1031711,RSPO_c01821,AEG69121.1,CP002819,1896938,1900579,0,protein,ripA5_2,Type III effector protein AWR5_2
CFBP2957,PRJNA50545,859656,RCFBP_mp20171,CBJ53598.1,FP885907,872816,875272,0,protein,ripAV,Type III effector protein RipAV
UW551,PRJNA54307,342110,RRSL_03113,WP_003263709.1,AAKL01000026,13023,15119,0,protein,ripAQ,Type III effector protein RipAQ
Molk2,PRJNA180980,564065,RSMK_02995,CAQ36782.1,CAHW01000037,499704,500498,0,fragment,ripX_fragment2,"Type III effector protein RipX [formerly PopA], harpin(frameshift, C-terminal fragment)"
CMR15,PRJEA50681,859655,CMR15_mp30022,CBJ41027.1,FP885896,1628071,1635531,0,protein,ripS2,Type III effector protein SKWP2
Molk2,PRJNA180980,564065,RSMK_03370,CAQ37143.1,CAHW01000037,1007581,1009155,0,protein,ripQ,Type III effector protein RipQ
Psi07,PRJNA50543,859657,RPSI07_1851,CBJ51215.1,FP885906,1888686,1896383,0,protein,ripS4,Type III effector protein SKWP4
IPO1609,PRJNA32087,564066,RSIPO_04287,YP_002257980.1,CU914166,1564327,1565751,0,pseudogene,ripQ,"type III effector protein RipQ (truncated, probable pseudogene)"
IPO1609,PRJNA32087,564066,RSIPO_01319,YP_002259544.1,NW_002196569,1443547,1445874,0,protein,ripH1,Type III effector protein HLK1
GMI1000,PRJNA57593,267608,RSp0732,CAD17883.1,AL646053,919454,921946,0,protein,ripAV,Type III effector protein RipAV
CFBP2957,PRJNA50545,859656,RCFBP_mp30157,CBJ54244.1,FP885907,1745437,1747107,0,protein,ripAT,Type III effector protein RipAT
CMR15,PRJEA50681,859655,CMR15_mp10293,CBJ39946.1,FP885896,351035,352576,0,protein,ripO1,Type III effector RipO1
Psi07,PRJNA50543,859657,RPSI07_mp0961,CBJ35299.1,FP885891,1151893,1158777,0,protein,ripS3,Type III effector protein SKWP3
CFBP2957,PRJNA50545,859656,RCFBP_mp20332,CBJ53758.1,FP885907,1067932,1070046,0,protein,ripAQ,Type III effector protein RipAQ
Psi07,PRJNA50543,859657,RPSI07_mp1050,CBJ35382.1,FP885891,1269103,1270875,0,protein,ripG1_3,Leucine-rich-repeat type III effector protein (GALA1_3)
RS1000,,305,BAH47301.1,BAH47301.1,AB302273,371,1027,0,protein,ripAX2,type III effector protein (Rip36)
R24,PRJNA53879,907261,RALSY_mp10507,CCA87975.1,R24_FR854090,546665,550450,0,protein,ripA3,Type III effector AWR3
IPO1609,PRJNA32087,564066,RSIPO_03900,YP_002257593.1,CU914166,1013854,1017927,0,protein,ripAN,Type III effector protein RipAN
BDBR229,PRJNA53877,741978,BDB_mp60046,CCA82882.1,BDBR229_FR854082,46796,47650,0,protein,ripAZ1,Type III effector protein RipAZ1
CFBP2957,PRJNA50545,859656,RCFBP_mp10324,CBJ53112.1,FP885907,363087,365021,0,protein,ripD,Type III effector protein RipD
BDBR229,PRJNA53877,741978,BDB_mp80083,CCA83891.1,BDBR229_FR854084,99980,103918,0,fragment,ripA4_fragment2,"Type III effector AWR4 (frameshift, C-terminal fragment)"
IPO1609,PRJNA32087,564066,RSIPO_04247,YP_002257938.1,CU914166,1501369,1503765,0,protein,ripAP,Type III effector protein RipAP
R24,PRJNA53879,907261,RALSY_mp10540,CCA88006.1,R24_FR854090,580975,581925,0,protein,ripX,Type III effector protein RipX [formerly PopA]
BDBR229,PRJNA53877,741978,BDB_180188,CCA82145.1,BDBR229_FR854074,204811,205878,0,protein,ripAU,Type III effector protein RipAU
CMR15,PRJEA50681,859655,CMR15_mp30202,CBJ41203.1,FP885896,1827839,1830064,0,protein,ripF1_1,Type III translocon protein RipF1_1 [formerly PopF1]
R24,PRJNA53879,907261,RALSY_30635,CCA88876.1,R24_FR854088,611417,613042,0,protein,ripBF,Type III effector protein RipBF
Po82,PRJNA162133,1031711,RSPO_c01872,AEG69171.1,CP002819,1950842,1951312,0,fragment,ripM_fragment2,"Type III effector protein RipM (frameshift, central fragment)"
Molk2,PRJNA180980,564065,RSMK_00806,CAQ35687.1,CAHW01000035,496027,499668,0,protein,ripA5_2,Type III protein effector AWR5_2
RS1000,,305,BAH47297.1,BAH47297.1,AB302269,232,1197,0,protein,ripT,type III effector protein RipT (Rip25)
BDBR229,PRJNA53877,741978,BDB_mp40105,CCA82820.1,BDBR229_FR854080,100051,102156,0,protein,ripAQ,Type III effector protein RipAQ
Psi07,PRJNA50543,859657,RPSI07_mp0791,CBJ35138.1,FP885891,970463,974269,0,protein,ripA3,Type III effector AWR3
CFBP2957,PRJNA50545,859656,RCFBP_mp30479,CBJ54559.1,FP885907,2066327,2067325,0,protein,ripAD,Type III effector protein RipAD
RS1000,,305,BAH47300.1,BAH47300.1,AB302272,533,2071,0,protein,ripO1,type III effector protein (Rip35)
RS1000,,305,BAH47303.1,BAH47303.1,AB302275,302,1444,0,protein,ripW,"Type III effector protein, harpin with pectate lyase domain (Rip24)"
RS1000,,305,BAH47296.1,BAH47296.1,AB302268,234,1700,0,protein,ripP2_1,Type III effector protein RipP2 [formerly PopP2] (Rip8)
Po82,PRJNA162133,1031711,RSPO_c00263,AEG67567.1,CP002819,263519,264394,0,protein,ripBD,Type III effector protein RipBD
IPO1609,PRJNA32087,564066,RSIPO_05027,NEW,CU914166,1017961,1019184,0,fragment,ripA3_fragment2,"Type III effector protein AWR3 (frameshift, C-terminal fragment)"
UW551,PRJNA54307,342110,RRSL_10004,NEW,AAKL01000026,63431,65701,0,fragment,ripA4,truncated Type III effector AWR4 (frameshift + sequence gap in C-terminal part)
Psi07,PRJNA50543,859657,RPSI07_mp0826,CBJ35172.1,FP885891,1009196,1010629,0,protein,ripAO,Type III effector protein RipAO
CMR15,PRJEA50681,859655,CMR15_20562,CBJ38605.1,FP885895,2513169,2515229,0,protein,ripV1,"Type III effector protein RipV1, SspH1 family"
GMI1000,PRJNA57593,267608,RSp1022,CAD18173.1,AL646053,1288854,1290104,0,protein,ripAY,Type III effector protein RipAY
UW551,PRJNA54307,342110,RRSL_00041,WP_003266337.1,AAKL01000116,2283,3464,0,fragment,ripH3,fragment of Type III effector protein HLK3 (truncated gene)
CFBP2957,PRJNA50545,859656,RCFBP_mp10346,CBJ53134.1,FP885907,390772,392301,0,protein,ripO1,Type III effector protein RipO1
CMR15,PRJEA50681,859655,CMR15_11805,CBJ38006.1,FP885895,1870476,1871864,0,protein,ripG4,Type III effector protein GALA4
RS1000,,305,BAD42405.1,BAD42405.1,AB178020,254,1678,0,protein,ripN,Type III effector protein (Rip58)
CFBP2957,PRJNA50545,859656,RCFBP_mp30036,CBJ54124.1,FP885907,1610036,1610920,0,protein,ripU,Type III effector protein RipU
RS1000,,305,BAD42384.1,BAD42384.1,AB177896,130,4137,0,protein,ripA4,Type III effector protein AWR4 (Rip45)
IPO1609,PRJNA32087,564066,RSIPO_04463,YP_002258152.1,CU914166,1787782,1789311,0,protein,ripO1,Type III effector protein RipO1
Psi07,PRJNA50543,859657,RPSI07_mp1017,CBJ35351.1,FP885891,1224337,1225527,0,protein,ripAY,Type III effector protein RipAY
UW551,PRJNA54307,342110,RRSL_02221,WP_003263674.1,AAKL01000025,55356,56690,0,protein,ripAL,"Type III effector protein RipAL, lipase domain"
BDBR229,PRJNA53877,741978,BDB_mp80070,CCA83879.1,BDBR229_FR854084,82739,83248,0,protein,ripAI,Type III effector protein RipAI
Molk2,PRJNA180980,564065,RSMK_00743,CAQ35634.1,CAHW01000035,430171,430506,0,fragment,ripV2_fragment2,"Type III effector protein RipV2 (frameshift, central fragment)"
BDBR229,PRJNA53877,741978,BDB_mp40027,CCA82742.1,BDBR229_FR854080,18090,25124,0,protein,ripS5,Type III effector protein SKWP5
CMR15,PRJEA50681,859655,CMR15_mp10826,CBJ40473.1,FP885896,968757,972746,0,protein,ripA4,Type III effector AWR4
UW551,PRJNA54307,342110,RRSL_00571,WP_003265581.1,AAKL01000065,2963,5593,0,protein,ripAS,Type III effector protein RipAS
GMI1000,PRJNA57593,267608,RSc1357,CAD15059.1,AL646052,1445546,1447489,0,protein,ripG7,Type III effector protein GALA7
R24,PRJNA53879,907261,RALSY_mp10406,RALSY_mp10406,R24_FR854090,442009,442323,0,pseudogene,ripAL,truncated Type III effector RipAL (probable pseudogene)
UW551,PRJNA54307,342110,RRSL_03418,WP_003262828.1,AAKL01000014,69247,72630,0,protein,ripA2,Type III effector protein AWR2
UW551,PRJNA54307,342110,RRSL_02855,WP_003263365.1,AAKL01000020,76241,77665,0,pseudogene,ripQ,"Type III effector protein RipQ (truncated, probable pseudogene)"
R24,PRJNA53879,907261,RALSY_mp10508,CCA87976.1,R24_FR854090,550632,554657,0,protein,ripA4,Type III effector protein AWR4
CFBP2957,PRJNA50545,859656,RCFBP_20072,CBJ43267.1,FP885897,2035978,2037906,0,protein,ripG7,Type III effector protein GALA7
Molk2,PRJNA180980,564065,RSMK_00772,CAQ35660.1,CAHW01000035,466300,468636,0,protein,ripH1,Type III effector protein HLK1
Psi07,PRJNA50543,859657,RPSI07_mp1356,CBJ35681.1,FP885891,1647593,1655209,0,protein,ripS2,Type III effector protein SKWP2
Molk2,PRJNA180980,564065,RSMK_05681,CAQ18765.1,CAHW01000020,3872,5749,0,protein,ripG6,Type III effector protein GALA6
UW551,PRJNA54307,342110,RRSL_01581,WP_003264643.1,AAKL01000040,726,1565,0,protein,ripAA,Type III effector protein RipAA [formerly AvrA]
CMR15,PRJEA50681,859655,CMR15_mp10541,CBJ40191.1,FP885896,611522,611896,0,pseudogene,ripC2,"Type III effector protein RipC2 (truncated, probable pseudogene)"
Molk2,PRJNA180980,564065,RSMK_02808,CAQ36639.1,CAHW01000037,327199,328896,0,protein,ripTPS,"Type III effector RipTPS, trehalose-6-phosphate synthase"
Molk2,PRJNA180980,564065,RSMK_02700,CAQ36581.1,CAHW01000037,268139,271294,0,protein,ripG2,Type III effector protein GALA2
GMI1000,PRJNA57593,267608,RSp0877,CAD18028.1,AL646053,1106202,1107236,0,protein,ripX,Type III effector protein Harpin RipX (formerly PopA)
BDBR229,PRJNA53877,741978,BDB_110334,BDB_110334,BDBR229_FR854067,333568,334593,0,fragment,ripAL_fragment2,"Type III effector RipAL (frameshift, C-terminal fragment), lipase domain"
CMR15,PRJEA50681,859655,CMR15_mp30047,CBJ41051.1,FP885896,1656202,1657860,0,protein,ripAT,Type III effector protein RipAT
CMR15,PRJEA50681,859655,CMR15_mp30120,CBJ41123.1,FP885896,1738055,1738879,0,protein,ripAU,Type III effector RipAU
RS1000,,305,BAI68381.1,BAI68381.1,AB516348,758,1324,0,pseudogene,ripJ,"truncated type III effector protein (IS insertion, probable pseudogene) (Rip22)"
CMR15,PRJEA50681,859655,CMR15_10195,CBJ36409.1,FP885895,218175,218639,0,protein,ripAM,Type III effector protein RipAM
BDBR229,PRJNA53877,741978,BDB_30157,BDB_30157,BDBR229_FR854076,144650,146491,0,fragment,ripV1_fragment2,"Type III effector protein RipV1 (frameshift, C-terminal fragment)"
Po82,PRJNA162133,1031711,RSPO_c02545,AEG69839.1,CP002819,2660713,2662005,0,fragment,ripS5_fragment1,"Type III effector protein SKWP5 (frameshift, N-terminal fragment)"
Po82,PRJNA162133,1031711,RSPO_m01165,AEG71801.1,CP002820,1314841,1318740,0,protein,ripA3,Type III effector protein AWR3
UW551,PRJNA54307,342110,RRSL_00852,WP_003265666.1,AAKL01000068,14126,15415,0,protein,ripE1,Type III effector Protein RipE1
CMR15,PRJEA50681,859655,CMR15_mp20341,CBJ40913.1,FP885896,1505122,1506900,0,protein,ripAR,Type III effector protein RipAR
CMR15,PRJEA50681,859655,CMR15_mp10816,CBJ40463.1,FP885896,952284,952796,0,protein,ripAI,Type III effector protein RipAI
CFBP2957,PRJNA50545,859656,RCFBP_mp30453,CBJ54536.1,FP885907,2036379,2038160,0,protein,ripF2,Type III secretion translocon protein RipF2
UW551,PRJNA54307,342110,RRSL_04660,WP_003261215.1,AAKL01000001,89660,90544,0,protein,ripU,Type III effector protein RipU
R24,PRJNA53879,907261,RALSY_mp30830,NEW,R24_FR854092,531370,531480,0,fragment,ripAZ1_fragment1,"Type III effector protein RipAZ1 (frameshift, N-terminal fragment)"
R24,PRJNA53879,907261,RALSY_mp30263,CCA86949.1,R24_FR854092,276403,278145,0,protein,ripAT,Type III effector protein RipAT
Po82,PRJNA162133,1031711,RSPO_c01873,AEG69172.1,CP002819,1951328,1951684,0,fragment,ripM_fragment1,"Type III effector protein RipM (frameshift, N-terminal fragment)"
R24,PRJNA53879,907261,RALSY_30357,CCA88609.1,R24_FR854088,344294,346225,0,protein,ripAE,Type III effector protein RipAE
Psi07,PRJNA50543,859657,RPSI07_mp1701,CBJ36020.1,FP885891,1983905,1984828,0,protein,ripAD,Type III effector protein RipAD
IPO1609,PRJNA32087,564066,RSIPO_00263,YP_002258475.1,NW_002196569,301565,303064,0,protein,ripB,Type III effector protein RipB
Psi07,PRJNA50543,859657,RPSI07_0735,CBJ50097.1,FP885906,735740,736870,0,protein,ripW,"Type III effector RipW [formerly PopW], Hairpin with pectate lyase domain"
RS1000,,305,BAH47282.1,BAH47282.1,AB302224,2166,5120,0,protein,ripAC,type III effector protein RipAC [formerly PopC] (Rip47)
GMI1000,PRJNA57593,267608,RSp0672,CAD17823.3,AL646053,855222,858329,0,protein,ripG2,Type III effector protein GALA2
UW551,PRJNA54307,342110,RRSL_04777,WP_003261368.1,AAKL01000001,223510,225723,0,protein,ripF1,Type III secretion system translocon protein RipF1 [formerly PopF1]
GMI1000,PRJNA57593,267608,RSp0875,CAD18026.2,AL646053,1102522,1105476,0,protein,ripAC,Type III effector protein RipAC (formerly PopC)
Po82,PRJNA162133,1031711,RSPO_m00869,AEG71507.1,CP002820,983718,985145,0,protein,ripN,Type III effector protein RipN
Molk2,PRJNA180980,564065,RSMK_02876,CAQ36739.1,CAHW01000037,452542,453087,0,protein,ripAI,Type III effector protein RipAI
Psi07,PRJNA50543,859657,RPSI07_mp1807,NEW,PSI07_mpl,1669732,1670262,0,pseudogene,ripAS,"Type III effector protein RipAS (truncated, probable pseudogene)"
Po82,PRJNA162133,1031711,RSPO_m01195,AEG71831.1,CP002820,1348820,1349344,0,protein,ripAB,Type III effector protein RipAB (formerly PopB)
GMI1000,PRJNA57593,267608,RSp1130,CAD18281.1,AL646053,1425404,1426828,0,protein,ripN,Type III effector protein RipN
Psi07,PRJNA50543,859657,RPSI07_mp0823,CBJ35169.1,FP885891,1004626,1005156,0,protein,ripAB,Type III effector RipAB [formerly PopB]
Po82,PRJNA162133,1031711,RSPO_m01007,AEG71644.1,CP002820,1138582,1141743,0,protein,ripG2,Type III effector protein GALA2
GMI1000,PRJNA57593,267608,RSc2359,CAD16066.2,AL646052,2561128,2563557,0,protein,ripAK,Type III effector protein RipAK
RS1000,,305,BAI67916.1,BAI67916.1,AB516331,919,3216,0,protein,ripH1,type III effector protein HLK1 (Rip15)
BDBR229,PRJNA53877,741978,BDB_mp40113,CCA82828.1,BDBR229_FR854080,112499,113758,0,fragment,ripAO,Type III effector protein RipAO (truncated: potential frameshift and/or pseudogene)
R24,PRJNA53879,907261,RALSY_30990,CCA89217.1,R24_FR854088,945653,947239,0,pseudogene,ripC2_fragment2,"Type III effector protein RipC2 (IS insertion:probable pseudogene, C-terminal fragment)"
GMI1000,PRJNA57593,267608,RSc1800,CAD15502.2,AL646052,1936205,1937593,0,protein,ripG4,Type III effector protein GALA4
Molk2,PRJNA180980,564065,RSMK_02862,CAQ36750.1,CAHW01000037,469439,473428,0,protein,ripA4,Type III effector protein AWR4
Po82,PRJNA162133,1031711,RSPO_c01332,AEG68632.1,CP002819,1405787,1406704,0,protein,ripAJ,Type III effector protein RipAJ
Po82,PRJNA162133,1031711,RSPO_m01520,AEG72155.1,CP002820,1768233,1770179,0,protein,ripD,Type III effector protein RipD
R24,PRJNA53879,907261,RALSY_20201,CCA85595.1,R24_FR854087,200599,201561,0,protein,ripT,type III effector protein RipT
IPO1609,PRJNA32087,564066,RSIPO_01281,YP_002259506.1,NW_002196569,1394889,1398527,0,protein,ripA5_2,Type III effector protein AWR5_2
BDBR229,PRJNA53877,741978,BDB_30150,BDB_30150,BDBR229_FR854076,137626,139092,0,protein,ripG6,Type III effector protein GALA6
RS1000,,305,BAI67910.1,BAI67910.1,AB516325,468,956,0,pseudogene,ripY,"type III effector protein, pseudogene (internal deletion) (Rip3)"
CMR15,PRJEA50681,859655,CMR15_30701,CBJ39448.1,FP885895,3365861,3367306,0,protein,ripB,Type III effector protein RipB
IPO1609,PRJNA32087,564066,RSIPO_03903,YP_002257596.1,CU914166,1023444,1025711,0,fragment,ripA4_fragment1,"Type III effector AWR4 (frameshift, N-terminal fragment)"
Molk2,PRJNA180980,564065,RSMK_02958,CAQ36816.1,CAHW01000037,553768,560667,0,protein,ripS3,Type III effector protein SKWP3
CFBP2957,PRJNA50545,859656,RCFBP_mp20289,CBJ53715.1,FP885907,1012555,1016556,0,protein,ripAN,Type III effector protein RipAN
CMR15,PRJEA50681,859655,CMR15_mp30324,NEW,CMR15_mpl,800475,800591,0,fragment,ripAL_fragment1,"Type III effector RipAL (frameshift, N-terminal part), lipase domain"
BDBR229,PRJNA53877,741978,BDB_mp40004,CCA82720.1,BDBR229_FR854080,2157,3065,0,protein,ripE2,Type III effector RipE2
R24,PRJNA53879,907261,RALSY_11051,CCA85058.1,R24_FR854086,1057681,1058808,0,protein,ripW,"Type III effector RipW [formerly PopW], Harpin with pectate lyase domain"
Po82,PRJNA162133,1031711,RSPO_m01290,AEG71925.1,CP002820,1502734,1503570,0,fragment,ripA5_1_fragment2,"Type III effector protein AWR5_1 (frameshift, C-terminal fragment)"
RS1000,,305,BAD42388.1,BAD42388.1,AB177900,150,2786,0,protein,ripAS,Type III effector protein (Rip66)
UW551,PRJNA54307,342110,RRSL_01439,WP_003265467.1,AAKL01000061,19872,22763,0,protein,ripY,Type III effector protein RipY
RS1000,,305,BAD42404.1,BAD42404.1,AB178019,218,2143,0,protein,ripD,Type III effector protein (Rip34)
R24,PRJNA53879,907261,RALSY_mp30258,CCA86945.1,R24_FR854092,272392,274938,0,protein,ripAS,Type III effector RipAS
UW551,PRJNA54307,342110,RRSL_01071,WP_003264966.1,AAKL01000047,28501,32193,0,protein,ripA5_1,Type III effector protein AWR5_1
GMI1000,PRJNA57593,267608,RSp1281,CAD18432.2,AL646053,1622270,1627498,0,protein,ripR,Type III effector protein RipR
CFBP2957,PRJNA50545,859656,RCFBP_mp30249,CBJ54335.1,FP885907,1839330,1840628,0,protein,ripAW,Type III effector protein RipAW
RS1000,,305,BAH47290.1,BAH47290.1,AB302231,303,7178,0,protein,ripS3,Type III effector protein SKWP3 (Rip54)
IPO1609,PRJNA32087,564066,RSIPO_03931,YP_002257624.1,CU914166,1049066,1051738,0,protein,ripAC,Type III effector protein RipAC (formerly PopC)
UW551,PRJNA54307,342110,RRSL_00531,WP_003265684.1,AAKL01000069,3431,5029,0,protein,ripG5,Type III effector protein GALA5
Psi07,PRJNA50543,859657,RPSI07_mp1798,NEW,PSI07_mpl,168277,171558,0,fragment,ripL_fragment2,"Type III effector RipL with PPR repeats (second part, due to probable frameshift)"
CMR15,PRJEA50681,859655,CMR15_20567,CBJ38610.1,FP885895,2518871,2520733,0,protein,ripG6,Type III effector protein GALA6
R24,PRJNA53879,907261,RALSY_mp30159,CCA86847.1,R24_FR854092,180905,182458,0,protein,ripO2,Type III effector protein RipO2
Po82,PRJNA162133,1031711,RSPO_m01140,AEG71776.1,CP002820,1282068,1283084,0,protein,ripAF1,Type III effector protein RipAF1
Molk2,PRJNA180980,564065,RSMK_01179,CAQ36002.1,CAHW01000036,274071,274994,0,protein,ripAJ,Type III effector protein RipAJ
Psi07,PRJNA50543,859657,RPSI07_mp0781,CBJ35129.1,FP885891,957376,957885,0,protein,ripAI,Type III effector protein RipAI
Po82,PRJNA162133,1031711,RSPO_m00662,AEG71300.1,CP002820,746317,748053,0,protein,ripBC,Type III effector protein RipBC
Molk2,PRJNA180980,564065,RSMK_03341,CAQ37169.1,CAHW01000037,1036689,1041602,0,fragment,ripS2_fragment2,"Type III effector protein SKWP2 (frameshift, C-terminal fragment)"
CFBP2957,PRJNA50545,859656,RCFBP_20859,CBJ44040.1,FP885897,2797959,2799308,0,protein,ripJ,Type III effector protein RipJ
R24,PRJNA53879,907261,RALSY_mp30692,RALSY_mp30692,R24_FR854092,668687,668998,0,pseudogene,ripG3_fragment2,"Type III effector protein GALA3 (truncated, C-terminal fragment, probable pseudogene)"
RS1000,,305,BAH47281.1,BAH47281.1,AB302224,1516,2040,0,protein,ripAB,Type III effector protein RipAB [formerly PopB] (Rip48)
CMR15,PRJEA50681,859655,CMR15_11821,CMR15_11821,FP885895,1914679,1914912,0,pseudogene,ripTAL,remnant of TAL family type III effector protein (pseudogene)
UW551,PRJNA54307,342110,RRSL_02682,WP_004377054.1,AAKL01000011,54545,55699,0,protein,ripW,"Type III effector RipW [formerly PopW], Harpin with pectate lyase domain"
RS1000,,305,BAD42397.1,BAD42397.1,AB178012,205,1125,0,protein,ripAJ,Type III effector protein (Rip21)
RS1000,,305,BAI67912.1,BAI67912.1,AB516327,783,1079,0,protein,ripAG,Type III effector protein (Rip6)
IPO1609,PRJNA32087,564066,RSIPO_00343,YP_002258553.1,NW_002196569,383512,385455,0,protein,ripAE,Type III effector protein RipAE
RS1000,,305,BAD42391.1,BAD42391.1,AB178008,1187,1576,0,pseudogene,ripV1,"truncated Type III effector protein (IS insertion, pseudogene) (Rip12)"
CFBP2957,PRJNA50545,859656,RCFBP_mp20172,CBJ53599.1,FP885907,875954,877651,0,protein,ripTPS,"Type III effector RipTPS, trehalose-6-phosphate synthase"
RS1000,,305,BAI67928.1,BAI67928.1,AB516342,1067,3358,0,protein,ripAP,type III effector protein with ankyrin repeats (Rip60)
Molk2,PRJNA180980,564065,RSMK_02658,CAQ36465.1,CAHW01000037,112736,122134,0,protein,ripS7,Type III effector protein SKWP7
Po82,PRJNA162133,1031711,RSPO_c01876,AEG69175.1,CP002819,1953738,1954805,0,fragment,ripV2_fragment2,"Type III effector protein RipV2 (frameshift, C-terminal fragment)"
R24,PRJNA53879,907261,RALSY_mp10729,CCA88186.1,R24_FR854090,802919,807142,0,protein,ripZ,Type III effector protein RipZ
Molk2,PRJNA180980,564065,RSMK_04916,CAQ18078.1,CAHW01000006,123849,126110,0,protein,ripH2,Type III effector protein HLK2
GMI1000,PRJNA57593,267608,RSp0160,CAD17311.2,AL646053,184505,186637,0,protein,ripH3,Type III effector protein HLK3
IPO1609,PRJNA32087,564066,RSIPO_00017,YP_002258227.1,NW_002196569,19688,26758,0,protein,ripS1,Type III effector protein SKWP1
CMR15,PRJEA50681,859655,CMR15_mp10274,CBJ39928.1,FP885896,333160,335073,0,protein,ripD,Type III effector protein RipD
UW551,PRJNA54307,342110,RRSL_02443,WP_003263730.1,AAKL01000026,35981,36955,0,protein,ripX,"Type III effector protein RipX [formerly PopA], harpin"
Po82,PRJNA162133,1031711,RSPO_m01585,AEG72220.1,CP002820,1841626,1842618,0,protein,ripAD,Type III effector protein RipAD
CFBP2957,PRJNA50545,859656,RCFBP_mp30488,CBJ54568.1,FP885907,2082331,2084715,0,protein,ripBH,"Type III effector protein RipBH, OspD family"
UW551,PRJNA54307,342110,RRSL_04182,WP_003261712.1,AAKL01000005,19144,26214,0,protein,ripS1,Type III effector protein SKWP1
Po82,PRJNA162133,1031711,RSPO_m01541,AEG72176.1,CP002820,1792129,1794336,0,protein,ripF1,T3SS translocon protein RipF1 [formerly PopF1]
BDBR229,PRJNA53877,741978,BDB_110366,CCA80929.1,BDBR229_FR854067,358104,358571,0,protein,ripAM,Type III effector protein RipAM
Psi07,PRJNA50543,859657,RPSI07_mp0161,CBJ34519.1,FP885891,188713,190923,0,protein,ripH4,Type III effector protein HLK4
CMR15,PRJEA50681,859655,CMR15_10066,CBJ36281.1,FP885895,69209,76282,0,protein,ripS1,Type III effector protein SKWP1
CFBP2957,PRJNA50545,859656,RCFBP_mp30150,CBJ54238.1,FP885907,1739177,1741825,0,protein,ripAS,Type III effector protein RipAS
RS1000,,305,BAD42395.1,BAD42395.1,AB178010,1632,3248,0,protein,ripG5,Type III effector protein (Rip18)
BDBR229,PRJNA53877,741978,BDB_80683,BDB_80683,BDBR229_FR854064,701203,702315,0,fragment,ripBB_fragment2,"Type III effector RipBB (frameshift, C-terminal fragment), Ankyrin repeats"
Psi07,PRJNA50543,859657,RPSI07_mp1265,CBJ35594.1,FP885891,1545156,1547192,0,protein,ripAR,Type III effector protein RipAR
